Name1,Name2,BlockId,Col,Row,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Name,Drug,DrugNum,min1,max1,min2,max2,Experiment
Tazemetostat_1,A-485_2,1,10,10,0.625,0.46875,5.69484667094514,3,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,A-485_2,0,2,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
Tazemetostat_1,A-485_2,1,10,6,0.625,0.9375,4.71821314743551,3,0.688069477330848,0.311930522669152,0.688069477330848,0.45334160712838,A-485_2,0.9375,2,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
Tazemetostat_1,A-485_2,1,10,5,0.625,1.875,4.66031479851952,3,0.593712380898095,0.406287619101905,0.593712380898095,0.684317242108583,A-485_2,1.875,2,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
Tazemetostat_1,A-485_2,1,10,4,0.625,3.75,2.68609400326167,3,0.4070209133186,0.5929790866814,0.4070209133186,1.45687621269042,A-485_2,3.75,2,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
Tazemetostat_1,A-485_2,1,10,3,0.625,7.5,5.73286340733148,3,0.313337434260326,0.686662565739674,0.313337434260326,2.19144759182902,A-485_2,7.5,2,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
Tazemetostat_1,A-485_2,1,10,2,0.625,15,3.19367786806001,3,0.184790503636151,0.815209496363849,0.184790503636151,4.41153349508145,A-485_2,15,2,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
Tazemetostat_1,A-485_2,1,10,10,0.625,0.46875,5.69484667094514,3,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Tazemetostat_1,0,1,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
Tazemetostat_1,A-485_2,1,5,10,1.25,0.46875,2.33141173352828,3,0.868170697558279,0.131829302441721,0.868170697558279,0.151847214853587,Tazemetostat_1,1.25,1,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
Tazemetostat_1,A-485_2,1,4,10,2.5,0.46875,3.42814660047262,3,0.880631763381703,0.119368236618297,0.880631763381703,0.135548411472137,Tazemetostat_1,2.5,1,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
Tazemetostat_1,A-485_2,1,3,10,5,0.46875,2.7602282273841,3,0.820890320190793,0.179109679809207,0.820890320190793,0.218189538119511,Tazemetostat_1,5,1,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
Tazemetostat_1,A-485_2,1,2,10,10,0.46875,7.28648056201575,3,0.722474798555852,0.277525201444148,0.722474798555852,0.384131324717333,Tazemetostat_1,10,1,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
Tazemetostat_1,A-485_2,1,1,10,20,0.46875,5.77331380847692,3,0.718528723383637,0.281471276616363,0.718528723383637,0.391732811029294,Tazemetostat_1,20,1,1.25,20,0.9375,15,EOL1_ASSAY_ID_10946
